year,month,day,hour,minute,second,moisture0,moisture1,moisture2,moisture3,moisture4,irrigation
2024,1,2,20,0,0,0.65,0.68,0.63,0.70,0.67,0
2024,1,2,21,0,0,0.70,0.73,0.68,0.75,0.72,0
2024,1,2,22,0,0,0.73,0.76,0.71,0.78,0.75,0
2024,1,2,23,0,0,0.75,0.78,0.73,0.80,0.77,0
2024,1,3,0,0,0,0.76,0.79,0.74,0.81,0.78,0
2024,1,3,1,0,0,0.77,0.80,0.75,0.82,0.79,0
2024,1,3,2,0,0,0.78,0.81,0.76,0.83,0.80,0
2024,1,3,3,0,0,0.78,0.81,0.76,0.83,0.80,0
2024,1,3,4,0,0,0.78,0.81,0.76,0.83,0.80,0
2024,1,3,5,0,0,0.77,0.80,0.75,0.82,0.79,0
2024,1,3,6,0,0,0.75,0.78,0.73,0.80,0.77,0
2024,1,3,7,0,0,0.72,0.75,0.70,0.77,0.74,0
2024,1,3,8,0,0,0.68,0.71,0.66,0.73,0.70,0
2024,1,3,9,0,0,0.63,0.66,0.61,0.68,0.65,0
2024,1,3,10,0,0,0.58,0.61,0.56,0.63,0.60,0
2024,1,3,11,0,0,0.52,0.55,0.50,0.57,0.54,0
2024,1,3,12,0,0,0.46,0.49,0.44,0.51,0.48,0
2024,1,3,13,0,0,0.40,0.43,0.38,0.45,0.42,0
2024,1,3,14,0,0,0.34,0.37,0.32,0.39,0.36,1
2024,1,3,15,0,0,0.32,0.35,0.30,0.37,0.34,0
2024,1,3,16,0,0,0.35,0.38,0.33,0.40,0.37,0
2024,1,3,17,0,0,0.42,0.45,0.40,0.47,0.44,0
2024,1,3,18,0,0,0.52,0.55,0.50,0.57,0.54,0
2024,1,3,19,0,0,0.62,0.65,0.60,0.67,0.64,0
2024,1,3,20,0,0,0.70,0.73,0.68,0.75,0.72,0
2024,1,3,21,0,0,0.75,0.78,0.73,0.80,0.77,0
2024,1,3,22,0,0,0.78,0.81,0.76,0.83,0.80,0
2024,1,3,23,0,0,0.80,0.83,0.78,0.85,0.82,0
2024,1,4,0,0,0,0.81,0.84,0.79,0.86,0.83,0
2024,1,4,1,0,0,0.82,0.85,0.80,0.87,0.84,0
2024,1,4,2,0,0,0.83,0.86,0.81,0.88,0.85,0
2024,1,4,3,0,0,0.83,0.86,0.81,0.88,0.85,0
2024,1,4,4,0,0,0.83,0.86,0.81,0.88,0.85,0
2024,1,4,5,0,0,0.82,0.85,0.80,0.87,0.84,0
2024,1,4,6,0,0,0.80,0.83,0.78,0.85,0.82,0
2024,1,4,7,0,0,0.77,0.80,0.75,0.82,0.79,0
2024,1,4,8,0,0,0.73,0.76,0.71,0.78,0.75,0
2024,1,4,9,0,0,0.68,0.71,0.66,0.73,0.70,0
2024,1,4,10,0,0,0.62,0.65,0.60,0.67,0.64,0
2024,1,4,11,0,0,0.56,0.59,0.54,0.61,0.58,0
2024,1,4,12,0,0,0.50,0.53,0.48,0.55,0.52,0
2024,1,4,13,0,0,0.44,0.47,0.42,0.49,0.46,0
2024,1,4,14,0,0,0.38,0.41,0.36,0.43,0.40,1
2024,1,4,15,0,0,0.35,0.38,0.33,0.40,0.37,0
2024,1,4,16,0,0,0.38,0.41,0.36,0.43,0.40,0
2024,1,4,17,0,0,0.45,0.48,0.43,0.50,0.47,0
2024,1,4,18,0,0,0.55,0.58,0.53,0.60,0.57,0
2024,1,4,19,0,0,0.65,0.68,0.63,0.70,0.67,0
2024,1,4,20,0,0,0.72,0.75,0.70,0.77,0.74,0
2024,1,4,21,0,0,0.77,0.80,0.75,0.82,0.79,0
2024,1,4,22,0,0,0.80,0.83,0.78,0.85,0.82,0
2024,1,4,23,0,0,0.82,0.85,0.80,0.87,0.84,0
2024,1,5,0,0,0,0.83,0.86,0.81,0.88,0.85,0
2024,1,5,1,0,0,0.84,0.87,0.82,0.89,0.86,0
2024,1,5,2,0,0,0.85,0.88,0.83,0.90,0.87,0
2024,1,5,3,0,0,0.85,0.88,0.83,0.90,0.87,0
2024,1,5,4,0,0,0.85,0.88,0.83,0.90,0.87,0
2024,1,5,5,0,0,0.84,0.87,0.82,0.89,0.86,0
2024,1,5,6,0,0,0.82,0.85,0.80,0.87,0.84,0
2024,1,5,7,0,0,0.79,0.82,0.77,0.84,0.81,0
2024,1,5,8,0,0,0.75,0.78,0.73,0.80,0.77,0
2024,1,5,9,0,0,0.70,0.73,0.68,0.75,0.72,0
2024,1,5,10,0,0,0.64,0.67,0.62,0.69,0.66,0
2024,1,5,11,0,0,0.58,0.61,0.56,0.63,0.60,0
2024,1,5,12,0,0,0.52,0.55,0.50,0.57,0.54,0
2024,1,5,13,0,0,0.46,0.49,0.44,0.51,0.48,0
2024,1,5,14,0,0,0.40,0.43,0.38,0.45,0.42,1
2024,1,5,15,0,0,0.38,0.41,0.36,0.43,0.40,0
2024,1,5,16,0,0,0.42,0.45,0.40,0.47,0.44,0
2024,1,5,17,0,0,0.50,0.53,0.48,0.55,0.52,0
2024,1,5,18,0,0,0.60,0.63,0.58,0.65,0.62,0
2024,1,5,19,0,0,0.70,0.73,0.68,0.75,0.72,0
2024,1,5,20,0,0,0.78,0.81,0.76,0.83,0.80,0
2024,1,5,21,0,0,0.83,0.86,0.81,0.88,0.85,0
2024,1,5,22,0,0,0.86,0.89,0.84,0.91,0.88,0
2024,1,5,23,0,0,0.88,0.91,0.86,0.93,0.90,0
